Champion	Picks	Bans	Presence	Wins	Losses	Winrate	KDA	Avg_BT	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Elise		7	6	0		4	3	57	4.3	7.5	35:58	5.1	378	325	-9.2	357	-380
Neeko		7	6	0		1	6	14	1.6	5.0	31:05	4.9	439	314	4.1	30	141
Yorick		8	2	0		3	5	38	1.2	9.5	26:39	8.4	459	393	-2	107	19
Garen		5	4	0		1	4	20	1.4	9.3	28:59	8.1	393	398	-4.4	-82	-56
Katarina	3	5	0		1	2	33	3.4	7.6	34:45	6.9	430	373	-16.3	-546	-75
Teemo		7	1	0		1	6	14	1.8	6.0	29:35	7.4	692	404	6.4	613	452
Brand		3	4	0		1	2	33	2.3	6.5	30:46	9.2	723	385	17.5	-154	391
Nunu		3	3	0		1	2	33	1.6	4.3	26:56	4.7	377	335	-5	-372	-476
Rammus		2	3	0		1	1	50	6.7	5.3	32:19	5.1	278	329	-16	-238	-906
Quinn		2	1	0		0	2	0	1.0	8.0	28:52	7.7	488	360	-22	-1255	-964
Zyra		3	0	0		1	2	33	2.6	0	33:41	0.8	353	256	-6.7	132	690
Illaoi		1	2	0		0	1	0	0.4	4.0	25:43	7.5	398	305	-18	-1635	-316
Fizz		2	0	0		0	2	0	1.9	0	32:14	6.3	265	359	-18	-1124	-696
Master_Yi	2	0	0		1	1	50	1.9	0	29:05	4.3	579	373	-32	-1744	-962
Warwick		1	1	0		1	0	100	2.4	8.0	26:14	5.6	553	405	23	1880	1078
KSante		0	0	0		0	0	0	0	0	0:0	0	0	0	0	0	0
Milio		0	0	0		0	0	0	0	0	0:0	0	0	0	0	0	0
